,Species,gps,Year,nivalis_2007_18km,nivalis_2008_18km,nivalis_2009_18km,nivalis_2010_18km,nivalis_2011_18km,nivalis_2012_18km,nivalis_2013_18km,nivalis_2014_18km,nivalis_2015_18km,nivalis_2016_18km,nivalis_2017_18km,nivalis_2018_18km,nivalis_2019_18km,nivalis_2020_18km,nivalis_2021_18km,alpestris_2007_18km,alpestris_2008_18km,alpestris_2009_18km,alpestris_2010_18km,alpestris_2011_18km,alpestris_2012_18km,alpestris_2013_18km,alpestris_2014_18km,alpestris_2015_18km,alpestris_2016_18km,alpestris_2017_18km,alpestris_2018_18km,alpestris_2019_18km,alpestris_2020_18km,alpestris_2021_18km,mexicanus_2007_18km,mexicanus_2008_18km,mexicanus_2009_18km,mexicanus_2010_18km,mexicanus_2011_18km,mexicanus_2012_18km,mexicanus_2013_18km,mexicanus_2014_18km,mexicanus_2015_18km,mexicanus_2016_18km,mexicanus_2017_18km,mexicanus_2018_18km,mexicanus_2019_18km,mexicanus_2020_18km,mexicanus_2021_18km
72,Brachiacantha ursina,"(44.4677114312, -77.3172712326)",2012,0,0,0,0,1,0,0,2,0,0,0,1,2,5,5,0,0,0,0,4,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Brachiacantha ursina,"(42.4000152535, -71.1954934706)",2012,17,27,18,25,31,22,52,41,24,32,31,23,15,31,38,8,10,15,9,11,8,15,9,16,14,17,11,3,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Brachiacantha ursina,"(42.587072, -72.573941)",2012,11,5,4,3,8,3,10,12,4,3,20,15,31,19,32,10,6,2,1,0,4,4,5,10,7,18,14,8,23,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Brachiacantha ursina,"(42.459085, -71.275566)",2012,14,15,7,12,11,14,36,26,14,18,24,18,6,23,26,6,5,2,7,5,8,9,8,11,14,14,12,5,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Brachiacantha ursina,"(41.0814447, -81.519005)",2012,0,0,1,1,1,0,0,3,0,0,0,5,2,6,5,2,1,0,2,6,3,0,3,1,1,5,6,10,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Brachiacantha ursina,"(41.0149461, -81.5171254)",2012,0,0,0,0,1,2,0,4,1,0,0,5,2,6,5,3,2,1,3,7,9,8,13,17,1,8,14,18,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Brachiacantha ursina,"(39.869213, -75.029263)",2012,0,1,0,0,1,5,4,1,3,1,3,3,2,0,1,0,1,1,0,1,1,3,6,3,3,4,7,6,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Brachiacantha ursina,"(42.96287, -71.077622)",2012,7,5,5,2,11,3,9,10,9,6,5,10,5,5,3,5,2,2,0,1,1,5,4,6,3,10,7,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Brachiacantha ursina,"(39.179526, -84.493792)",2012,3,1,2,0,0,0,0,2,0,0,1,4,0,1,0,4,6,7,3,11,3,11,7,12,3,8,7,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Brachiacantha ursina,"(42.46415, -76.48114)",2012,18,21,17,18,23,24,41,68,45,61,56,77,38,57,63,21,16,22,20,25,33,62,50,69,69,46,57,55,74,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
